"address","hostpital"
"神奈川県横浜市緑区中山1-6-1 ミヨシズシードビル6F","あいはら矯正歯科"
"神奈川県横浜市保土ケ谷区帷子町2-47-2　第一斉藤ビル4F","井坂矯正歯科"
"神奈川県川崎市川崎区東田町5-3 ホンマビル2F","いしかわ矯正歯科"
"神奈川県海老名市中央2-5-34 アクシア八芳ビル1F","いしわた矯正歯科"
"神奈川県横浜市青葉区青葉台2-3-10 ラルク青葉台3F","いなげ矯正歯科医院"
"神奈川県横浜市中区石川町2-64 プラザセレス石川Ⅰ-5F","内田矯正歯科クリニック"
"神奈川県横浜市港南区港南台3-3-1 港南台214ビル2F","うえき矯正歯科クリニック"
"神奈川県秦野市緑町17-40 ","医社）暁美会　あかつき矯正歯科クリニック"
"神奈川県横浜市中区石川町2-64 プラザセレス石川Ⅰ-5F","内田矯正歯科クリニック"
"神奈川県川崎市中原区小杉町3-600 コスギサードアヴェニュー3F","医療法人 武蔵小杉矯正歯科"
"神奈川県相模原市南区相模大野3-12-6 アポロ相模大野ビル5F","そのこ矯正歯科"
"神奈川県藤沢市藤沢571","鎌田歯科矯正クリニック"
"神奈川県藤沢市藤沢571 ","鎌田歯科矯正クリニック"
"神奈川県平塚市立野町39-12 ","亀井矯正歯科医院"
"神奈川県横浜市磯子区洋光台3-1-18 ","洋光台矯正歯科"
"神奈川県横浜市都筑区中川中央1-2-2 ローバーセンター北3F","アリビオ矯正歯科クリニック"
"神奈川県川崎市多摩区登戸新町101 ","クラ矯正歯科クリニック"
"神奈川県横浜市青葉区あざみ野2-9-5　吉春ビル1F","クロダ矯正歯科"
"神奈川県横浜市都筑区中川中央1-29-1 グランドメゾンセンター北2F","医療法人社団OMS ポーラスター矯正歯科センター北"
"神奈川県横浜市青葉区あざみ野2-1-1 東急あざみ野ビル","ごう矯正歯科"
"神奈川県横須賀市久里浜1-5-1 鈴栄ビル301","さいとう矯正歯科ｸﾘﾆｯｸ"
"神奈川県藤沢市湘南台2-3-1 アルテミス湘南4F","医療法人社団凛湘会 さいとう矯正歯科医院"
"神奈川県厚木市中町1-6-1 厚木セントラルハイツ106","あさひ矯正歯科医院"
"神奈川県横浜市戸塚区品濃町541-3 オセアンビル7F","東戸塚たいらく矯正歯科"
"神奈川県秦野市本町1-4-8 ","高橋矯正歯科医院"
"神奈川県横浜市鶴見区鶴見2-1-3","鶴見大学歯学部歯科矯正学講座"
"神奈川県横浜市青葉区美しが丘2-14-3-2F","医療法人社団 翌檜会 たまプラーザ どう矯正歯科"
"神奈川県相模原市南区相模大野3-19-11 日広第2ビル7F","ドモン矯正歯科"
"神奈川県横浜市金沢区釜利谷東2-14-5 関口ビル3F","永井矯正歯科医院"
"神奈川県川崎市川崎区駅前本町12-1 川崎駅前タワー・リバーク5F","根津矯正歯科クリニック"
"神奈川県鎌倉市大船2-20-35","ふかわ矯正歯科"
"神奈川県鎌倉市大船2-20-35","ふかわ矯正歯科"
"神奈川県鎌倉市大船2-20-35","ふかわ矯正歯科"
"神奈川県横浜市神奈川区白楽1-1 フローリッシュ東白楽1F・2F","医療法人社団 福増矯正歯科"
"神奈川県横浜市戸塚区矢部町5 コヤマビル1F","アポロ歯科・矯正歯科"
"神奈川県横浜市港南区港南台3-6-35","前田矯正歯科クリニック"
"神奈川県藤沢市南藤沢4-16 マサキビル5F","正木矯正歯科"
"神奈川県横浜市港南区上大岡西1-19-17　ﾛｯｷｰｲｹﾀﾞ第2ビル2F","宮川矯正歯科クリニック"
"神奈川県小田原市栄町2-15-21 ","村上矯正歯科クリニック"
"神奈川県川崎市宮前区宮崎2-12-1 宮崎台プラザビル105","医療法人社団理惇会 宮崎台やすい矯正歯科クリニック"
"神奈川県横浜市西区北幸2-5-22 福井第2ビル4F","横関矯正歯科クリニック"
"神奈川県厚木市戸室5-31-1 アット・アツギトレリス3F","アツギトレリス歯科"
